
 C:\WinTa100\DIL805.PRO\Data\Quenching\713-Zaira-Calentamiento-Zry4-M3-400C-10Cs-10s-1000C-10Cs-60s-30C-10Cs-26022-10.26.22.PAR
                Time - Temperature  /  rel. Change in Length  /  dif. Change in Length 
                  s                °C                    %
  1001        40,00108337      400,03768921        0,18786499        0,43529341
  1002        40,00441360      400,03094482        0,18783794        0,43303928
  1003        40,00561523      400,07672119        0,18775682        0,37221020
  1004        40,00683594      400,04425049        0,18781091        0,29898643
  1005        40,01046753      400,05484009        0,18770275        0,16410147
  1006        40,02015686      400,05081177        0,18802722        0,07924361
  1007        40,03100967      400,37030029        0,18778385        0,00708616
  1008        40,04066467      400,47036743        0,18789202       -0,04390518
  1009        40,05038071      400,53051758        0,18759459       -0,02378220
  1010        40,06003571      400,64385986        0,18775682       -0,02126008
  1011        40,07089233      400,80407715        0,18772979        0,05098508
  1012        40,08054352      400,82028198        0,18786499        0,12484441
  1013        40,09020996      400,89846802        0,18775682        0,17966385
  1014        40,10104370      401,10638428        0,18770275        0,27999628
  1015        40,11074829      401,08248901        0,18781091        0,22549871
  1016        40,12045670      401,15393066        0,18824352        0,18691784
  1017        40,13014221      401,05480957        0,18775682        0,19303122
  1018        40,14100647      401,17013550        0,18821648        0,18272755
  1019        40,15068054      401,09555054        0,18786499        0,20220570
  1020        40,16035843      401,13388062        0,18789202        0,08174103
