
 C:\WinTa100\DIL805.PRO\Data\Quenching\958-Micaela Moron-Zry4-M11-25C-60s-1050C-0.5Cs-5m-25C-0.5Cs-25C-60s-02.06.25.PAR
                Time - Temperature  /  rel. Change in Length  /  dif. Change in Length 
                  s                °C                    %
  4762      2410,00341797     1049,95727539        0,28189650       -0,04102653
  4763      2410,50292969     1049,65783691        0,28173348       -0,04709712
  4764      2411,00219727     1049,47155762        0,28127155       -0,05352462
  4765      2411,50292969     1049,07226563        0,28108132       -0,06034685
  4766      2412,00268555     1049,08618164        0,28048351       -0,06288446
  4767      2412,50219727     1048,87060547        0,28032047       -0,06661910
  4768      2413,00292969     1048,51647949        0,27994004       -0,06500809
  4769      2413,50219727     1048,34399414        0,27964112       -0,06539723
  4770      2414,00292969     1048,03369141        0,27961394       -0,06258526
  4771      2414,50244141     1047,74816895        0,27877158       -0,05977086
  4772      2415,00195313     1047,61889648        0,27904332       -0,05904834
  4773      2415,50268555     1047,16894531        0,27814659       -0,05656901
  4774      2416,00219727     1046,91052246        0,27814659       -0,05834983
  4775      2416,50292969     1046,84594727        0,27790204       -0,05715486
  4776      2417,00244141     1046,48571777        0,27776617       -0,05890710
  4777      2417,50195313     1046,32080078        0,27746725       -0,05857229
  4778      2418,00244141     1045,97985840        0,27711400       -0,06082597
  4779      2418,50292969     1045,73205566        0,27686945       -0,06377765
  4780      2419,00244141     1045,38916016        0,27638033       -0,06539325
  4781      2419,50195313     1045,11767578        0,27608141       -0,06642132
  4782      2420,00244141     1044,99035645        0,27578253       -0,06725823
  4783      2420,50292969     1044,82165527        0,27523902       -0,06625672
  4784      2421,00219727     1044,51025391        0,27466840       -0,06575502
  4785      2421,50292969     1044,26306152        0,27488580       -0,06631431
  4786      2422,00244141     1043,93188477        0,27428797       -0,06603273
  4787      2422,50195313     1043,66967773        0,27439666       -0,06742331
  4788      2423,00268555     1043,54406738        0,27385321       -0,06650431
  4789      2423,50219727     1043,28771973        0,27347279       -0,06839897
  4790      2424,00268555     1042,95178223        0,27322820       -0,06890210
  4791      2424,50219727     1042,68420410        0,27252170       -0,07179297
  4792      2425,00292969     1042,64538574        0,27224997       -0,07502490
  4793      2425,50292969     1042,25268555        0,27186954       -0,07574622
  4794      2426,00219727     1042,11425781        0,27143475       -0,07488616
  4795      2426,50292969     1041,76135254        0,27135324       -0,07310515
  4796      2427,00219727     1041,54675293        0,27108151       -0,06968159
  4797      2427,50268555     1041,27038574        0,27015764       -0,06500683
  4798      2428,00219727     1041,03710938        0,27021196       -0,06325223
  4799      2428,50268555     1040,77746582        0,26980436       -0,06303114
